1,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
1,2,315.8,0.0,397.2,113.4,1,1,1.0
1,3,53.8,60.6,121.7,55.99999999999999,1,1,1.0
2,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
2,2,315.8,0.0,395.93,113.4,1,1,1.0
2,3,36.95,57.64,118.05,56.230000000000004,1,1,1.0
3,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
3,2,315.8,0.0,394.67,113.4,1,1,1.0
3,3,20.1,54.68,114.4,56.449999999999996,1,1,1.0
4,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
4,2,315.8,0.0,393.40000000000003,113.4,1,1,1.0
4,3,3.26,51.72,110.74,56.68000000000001,1,1,1.0
5,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
5,2,313.3,0.0,394.62999999999994,113.4,1,1,1.0
5,3,2.17,48.31,93.73,55.66,1,1,1.0
6,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
6,2,310.8,0.0,395.86999999999995,113.4,1,1,1.0
6,3,1.09,44.91,76.71,54.620000000000005,1,1,1.0
7,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
7,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
7,3,0.0,41.5,59.7,53.599999999999994,1,1,1.0
8,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
8,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
8,3,0.0,41.5,41.9,46.099999999999994,1,1,1.0
9,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
9,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
9,3,0.0,41.5,27.2,46.099999999999994,1,1,1.0
10,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
10,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
11,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
11,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
12,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
12,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
12,4,819.3,167.86,140.70000000000005,88.58999999999997,1,1,1.0
13,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
13,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
13,4,778.52,159.57,174.26,95.45000000000002,1,1,1.0
14,1,99.2,0.0,219.90000000000003,64.5,1,1,1.0
14,2,308.3,0.0,397.09999999999997,113.4,1,1,1.0
